,Afghanistan,Albania,Algeria,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Cayman Islands,Central African Republic,Chad,Chile,China (People's Republic of),Colombia,Comoros,Congo,Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Democratic People's Republic of Korea,Democratic Republic of the Congo,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Eswatini,Ethiopia,Fiji,French Polynesia,Gabon,Gambia,Georgia,Ghana,Gibraltar,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong (China),India,Indonesia,Iran,Iraq,Israel,Jamaica,Jordan,Kazakhstan,Kenya,Kiribati,Korea,Kosovo,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Lebanon,Lesotho,Liberia,Libya,Macau (China),Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mayotte,Mexico,Micronesia,Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands Antilles,New Caledonia,Nicaragua,Niger,Nigeria,Niue,North Macedonia,Northern Mariana Islands,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Qatar,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Sri Lanka,Sudan,Suriname,Syrian Arab Republic,Chinese Taipei,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Türkiye,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,Uruguay,Uzbekistan,Vanuatu,Venezuela,Viet Nam,Wallis and Futuna,West Bank and Gaza Strip,Yemen,Zambia,Zimbabwe
Australia,60.88,0.04,0.06,0.02,0,0.02,0.14,0,0,0.02,0,0,58.97,0,0,0.12,0,0,3.4,0.01,0.01,0.93,0.24,0,0,0.05,0.31,0.03,43.87,0.29,0,2.9,0,0,0.36,0.07,0.07,0,3.18,0.01,0.03,0,0,0,0,3.75,0.03,0.05,0.02,0.04,0.17,0.04,0.01,0,0.52,1.15,41.54,0,0,0.28,0,1.42,0,0.02,0.04,0.05,0.04,0.06,0.54,0.04,0,6.7,187.52,0.13,23.71,0,0.06,8.6,0,2.01,20.5,0,0.12,0,0.03,24.72,24.44,0.44,0.34,0,0,0.37,1.41,2.46,1.53,3.62,0,2.05,0,0.5,0,0.44,4.17,0,6.19,0.01,0,0.03,1.66,57.49,0.33,17.84,11.78,0,0,0,0.05,1.4,2.44,0.01,0,0,18.95,2.2,0.01,415.17,0.01,0.36,50.99,0,0.66,0,0,0.03,0.01,23.71,0.01,0,0,0.05,0,0.1,0,0,119.61,9.22,2.33,11.46,16.52,3.17,0.05,24.78,0,0.03,2.19,4.48,52.64,0.03,0.31,19,0,0.02,0.15,0,0,9.41,0.9,0.12,0,0,0,42.75,0.01,48.71,0.02,28.7,9.73,1.13,2.15
Austria,3.37,10.44,0.3,0.01,0,0,0.33,3.68,0,2.87,0,0,2.02,0,1.3,0.01,0,0,1.73,0.35,20.47,0,2.07,0,0,7.82,0.04,0.01,0.07,1.22,0,0.02,0,0,6.24,2.33,0,0,0,0.11,0.01,0,0.07,0,0.05,0.29,0,0,0.05,0.31,4.42,0.8,0,0.01,0,11.55,0,0,0.17,0.04,5.24,3.1,0,0,5.16,0,0,0,0.04,0.09,0,4.59,3.58,10.9,3.27,0,0,2.81,2.89,3.54,0,0,12.28,0,0.48,0.65,2.35,0.1,0,2.6,0,0.05,0.06,0.13,0.02,1.8,0,0,0,0.03,0,3.45,0,4.38,3.42,1.21,0,0.59,7.72,0.47,0.04,0,2.07,0,0,1.41,0,1.34,0,1.79,0,0,2.27,0,0.02,0.34,0.23,1.82,0.78,0,0.29,0,0,0,0.06,0,0,0,0.99,12.85,0,0.04,0,0,0,0.13,0.65,0.4,4.51,0.22,0,12.97,0,0.11,1.43,0.82,0,0.09,0,0,0,-0.99,21.89,0.16,0,0,13.76,14.23,0,0,0.43,0,1.33,4.26,0,5.57,2.37,0.23,0.43
Belgium,2.25,0.03,8.57,0,0,0,0,0.17,0,0,0,0,1.03,0,0.01,0,22.81,0,0,8.04,0.05,0,1.23,0,0,18.14,28.51,5.47,4.06,2.8,0,5.93,4.03,0,0.66,1.56,0,0.02,0,0.07,0.78,0,4.19,0,0,100.91,0,0,0.37,8.58,0.24,2.04,0,0,0,5.36,0,0,0,0.08,0.01,2.37,0,0,2.78,9.24,0,0,7.02,1.21,0,1.14,2.83,0.03,14.18,0,0,1.37,0.01,13.13,0,0,0,0,0,0.04,5.15,0,0.01,1.49,0,2.28,7.32,0,0,17.4,0,0,0.15,0,0,0.05,0,0,1.9,0.01,0,15.66,10.31,0.01,0.03,0,0.29,0,0,2.08,19.86,5.91,0,0.01,0,0,0,0,0.03,0,0,8.23,4.59,0,41.84,0,0,0,0,0,0,0,10.1,0.03,0,0,0,0,0,2.27,10.47,4.32,0.62,0.01,1.03,16.5,0,0,12.06,0.05,0,0.62,0,0,0,1.08,7.88,0,0,0,34.05,3.07,0,0,0,0,0.01,15.64,0,22.34,8.93,1.21,0.64
Canada,117.07,0.08,-0.74,0.02,0,0.04,0.96,0.22,0,0.05,0,0,81.53,0,0.09,0.72,16.99,0,0,12.55,0.08,0.23,2.33,0,0,39.71,2.9,0.26,2.91,7.62,0,9.74,10.86,0,-12.38,45.84,0.27,0.31,0,0.38,9.95,0,3.08,0,1.17,56.15,1.18,1.18,0.28,2.11,2.26,2.84,0.31,0.02,0.2,79.46,0.37,0,0.43,0.24,0.05,43.37,0,0.34,9.64,1.22,0.3,1.56,64.5,16.84,0,8,12.31,0.3,66.05,0,2.62,72.85,0.06,37.62,0.09,0,0.08,0,0.19,1.14,59.56,0.3,0.33,2.73,0,2.24,9.4,0.31,0.09,72.16,0,0.07,0.87,0.41,0,12.23,0.07,0.12,5.67,0.05,0.02,4.74,56.29,38.3,0.26,0.07,6.82,0,0,4.58,19.3,41.95,0,0.05,0,0,12.25,0.07,0.42,0.07,0.87,23.5,8.98,0,10.77,0,0,0.65,0.74,0.09,0.31,0,29.4,0.11,0,2.74,0,0,0.3,18.1,5.61,45.87,1.4,11.69,0.67,93.93,0,0.3,79.74,0.37,0.13,2.91,0,0.09,0,2.38,-2.61,0.05,0,0.09,14.05,-103.8,0,0,0.06,0.59,2.4,13.93,0,30.13,34.83,3.98,3.74
Czech Republic,1.52,0.15,0.01,0.02,0,0,0.02,0.63,0,0.08,0,0,0.02,0,0.66,0.02,0,0,0,0.02,4.45,0.01,0.05,0,0,0.24,0,0.09,1.92,0.13,0,0.02,0,0,0.04,0.52,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0.04,0.03,0.05,0,0,0,5.31,0,0,0.01,0.02,3.65,0.18,0,0,0.01,0.01,0,0,0,0.03,0,0.12,0.22,0.07,2.47,0,0,2.99,0.02,0.04,0,0,0.41,0,0.16,0.04,0.85,0,0,1.09,0,0,0,0.03,0,1.56,0,0,0.22,0,0,0.05,0,4.53,0.44,1.58,0,0.02,0.23,1.35,0.14,0,0.03,0,0,0.04,1.52,0.12,0,1.45,0,0,0.03,0,0.04,0,0,0.46,0.29,0,0,0,0,0,0,0,0,0,0.29,23.68,0,0,0,0,0,0.02,0.01,0.24,0.1,0.01,0,2.14,0,0.05,0.14,0.01,0,0,0,0,0,0.02,3.89,0,0,0,0.06,3.2,0,0,0.09,0,0.02,0.06,0,0.51,0.86,2.51,0.09
Denmark,73.32,0.75,0,0,0,0,0.1,0,0,0,0,0,27.8,0,-0.93,0,0,0,-0.01,0,0.03,0,0.83,0,0,29.58,0,0,0,0,0,3,0,0,0.69,0.25,0,2.25,0,0,0,0,3.43,0,0,2.25,0,0,0,0,-4.83,0,0,0,0,97.46,0,0,0,0,3.88,7.18,0,0,0,0,0,0,0,0,0,1.76,3.8,0.45,20.9,0,0,4.18,0,41.88,0,0,0,0,-0.22,0,10.56,0,0,4.24,0,0,0,0,0,41.57,0,0,0,0,0,0.14,0,-0.02,0,0,0,1.96,16.54,29.31,0,0,-9.99,0,0,0,12.96,1.96,0,0,0,0,0.3,0,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,60.02,0.37,12.71,-0.42,1.05,0,81.94,0,0,44.61,0,0,0,0,0,0,-0.03,0.76,0,0,0,29.13,24.9,0,0,0,0,0,-0.2,0,11.3,40.94,0.08,0
Finland,26.04,0.08,0.15,0,0,0,0.08,0.05,0,0.09,0,0,0.98,0,0.15,0,0.03,0,0.19,0.37,2.09,0.11,0.35,0,0,0.46,0.81,0,1.44,0.1,0,2.04,0,0,-0.38,0.77,0,0,0,0,0.1,0,0,0,0.37,2.94,0.01,0,0.1,0,0.33,0,0,0.03,0,22.92,0,0,0,0.31,1.48,0.91,0,0,0.16,0.04,0,0.03,0.04,0.16,0,0.96,0.97,0.05,2.2,0,0,2.71,0.02,9.19,0,0,0.8,0,1.17,0.91,1.6,0,0.02,0.78,0,0.21,0.97,0,0,0.21,0,0,0,2.62,0,0.21,0,0.37,0.3,0,0,0.16,17.46,15.77,0.76,0,14.74,0,0,0.35,1.07,0.63,0,0,0,0,0.05,0,0,0,0,0.48,0.62,0,0.17,0,0,0,0,0,0,0,0.39,8.85,0,11.46,0,0,0,15.44,0.37,7.49,0.32,0,0,17.17,0,1.09,13.17,0.4,0.08,0,0,0,0,0.22,5.31,0,0,0,4.95,8.9,0,0,0,0.02,0,6.08,0,7.25,6.4,8.56,0.31
France,10.56,5.45,90.66,17.01,0,0.02,-17.04,11.63,0,54.76,0,0,88.36,0,1.79,0.02,38.11,0,0.04,164.12,7.49,0.11,39.45,0,0,102.22,7.57,2.41,182.16,374.28,0,42.96,101.83,0,67.48,-109.2,20.97,81.76,0,4.23,355.55,0,13.76,0,1.54,21.3,36.36,-3.06,2.4,230.01,76.81,19.85,1.82,0.42,0.55,56.77,0.36,0,119.6,2.95,149.49,4.52,0,0,21.97,58.61,1.89,0.2,41.05,1.9,0,214.73,-134.22,12.2,26.77,0,33.53,24.24,3.35,68.1,0,0,2.56,0,0.63,9.08,45.76,-0.41,0.12,5.18,0,77.67,0.08,4.37,-1.59,101.5,0,0,16.47,-23.51,0,49.03,0,2.6,1.08,-0.67,0,186.81,7.61,5.91,-0.5,0,0.51,0,0,0.21,82.67,42.57,0,1.54,0,0,89.43,0,40.78,0.02,1.72,20.98,-11.32,0,3.58,0,0,0.15,-0.27,0,0.33,0,264.41,-1.57,0,0.19,0,0,0.02,1.75,48.75,1.65,34.77,6.81,-2.53,60.28,0,0.19,27.18,6.62,0.27,22.92,0,0.03,0,118.82,41.53,0.64,0,0,13.95,12.6,0,0,175.71,3.22,8.01,118.91,112.44,57.56,9.06,-5.15,2.35
Germany,409.23,36.88,13.98,4.25,0,0,9.35,57.02,0,26.81,0,0,131.48,0,13.53,0.08,45.14,0,1.07,36.31,30.1,1.53,124.35,0,0,77.73,37.39,0.91,38.65,113.33,0,54.84,41.06,0,504.65,57.04,0.02,0.65,0,4.31,99.61,0,3.05,0,1.76,201.99,0.89,0.1,9.67,43.52,183.83,8.18,0.01,4.32,-0.11,141.63,1.72,0,0.13,1.57,84.43,80.03,0,0.61,26.96,17.82,0.29,0.29,11.56,17.84,0,555.5,6.57,93.33,507.66,0,-0.96,511.75,12.97,61.87,0,0,26.69,0,29.35,34.23,218.52,0.82,50.73,32.74,0,35.07,66.11,14.69,0.34,107.48,0,0.82,21.92,1.81,0,295.7,0,13.7,26.21,-7.53,0,18.28,47.99,66.5,70.16,0,45.85,0,0,14.12,102.15,154.69,0,0.6,0,0,48.74,0.05,0.96,2.59,3.19,166.61,30.85,0,44.53,0,0,0.03,0,0.01,0,0,43.53,52.38,0,23.55,0,0,0.4,157.98,174.63,143.09,4.92,77.14,0.07,765.12,0,26.52,35.02,29.46,9.66,29.06,0.01,0.3,0,264.78,279.72,1.58,0,0,66.52,205.1,0,0,15.38,0,11.06,122.36,0,215.66,241.83,33.52,27.23
Greece,0,1.66,0,0,0,0,0,0.04,0,0.02,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.08,0,0,0,0,0,0,0,0.02,0,0,0,0,0.4,0,0,0,0,0.08,0,0,0,0,0.05,0.01,0,0,0,0,0,0,0,0,0,0,0,0.03,0.02,0,0,0.06,0,0.02,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.56,0,0,0,0.02,0.33,0,0,0,0,0,0,0,0.22,0,0,0.02
