,Australia,Austria,Belgium,Canada,Czech Republic,Denmark,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Japan,Korea,Lithuania,Luxembourg,Netherlands,New Zealand,Norway,Poland,Portugal,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,United Kingdom,United States,EU Institutions,Azerbaijan,Bulgaria,Croatia,Cyprus,Estonia,Israel,Kazakhstan,Kuwait,Latvia,Liechtenstein,Malta,Monaco,Qatar,Romania,Saudi Arabia,Chinese Taipei,Thailand,Timor-Leste,Türkiye,United Arab Emirates
Afghanistan,50.54,3.82,2.63,113.21,3.02,108.18,35.8,44.48,619.12,0,0.07,1.82,7.61,97.01,212.53,28.43,0.24,9.53,31.55,4.24,80.17,1.03,3.43,0.68,0.49,9.32,115.26,61.71,258.89,1480.72,350.23,0,0.12,0.01,0.06,0.89,0.01,2.42,0,0.01,0.22,0.07,0,30.23,0.35,0,0,0.01,0,30.84,133.98
Albania,0.01,13.92,0.04,0.01,0.24,0.01,0.07,6.49,190.43,1.9,0.51,0,0.14,13.59,-1.58,-1.1,0.01,0.2,0.17,0,0.12,0.16,0.01,0.27,0.08,-0.37,14.77,32.39,4.82,12.6,371.11,0,0.09,0.2,0,0,0.18,0,11.93,0.2,0.06,0,0,5.2,1.53,0,0,0,0,3.95,2.89
Algeria,0,0.45,0.12,-0.39,0.05,0,0.12,100.03,30.91,0,1.46,0,0,1.4,0.5,2.16,0.01,0.04,0.23,0.03,1.16,0.28,0.3,1.4,0,-13.56,3.25,2.32,8.51,2.55,36.88,0,0,0,0,0,0.01,0,0,0,0,0,0,1.7,0.09,0,0,0,0,1.52,15.15
Angola,0,0.01,0.35,2.33,0.02,0.29,0,29.7,5.11,0,0.76,0,0,3.96,7.99,5.99,0,0,0.15,0.02,6.18,-2.42,17.84,0,1.01,18.39,2.04,0.11,2.02,41.71,51.79,0,0.01,0,0,0,0,0,0,0,0,0,1.66,0.51,0.09,0,0,0,0,0.22,0
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0.06,0,0,0.16,0,0,0,0,0,0,0,0,0,0,1.86,0,0,0,0,0,0,0.01,0,0,0,0.13,0.03,0,0.13,-0.04,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2
Argentina,0.06,0.54,0,4.42,0.01,0.35,0,13.45,11.61,0,0.3,0,0.01,-1.45,6.96,0.16,0,0.27,0.17,0.07,0.08,0.04,0.39,0,0,8.32,0.96,0.3,4.55,5.44,10.28,0,0,0,0,0,2.77,0,17.61,0,0,0,0,0,0,0,0,0.01,0,0.21,2.78
Armenia,0,5.19,0.77,0.9,0.33,0.08,0.03,36.04,54.44,0.03,0.65,0,0.05,0.23,-1.71,0.67,0.73,0,0.29,0,0.04,1.81,0.01,1.39,0,0,5.42,3.36,5.79,37.7,88.36,0,0.11,0,0,0.01,0.05,0,0,0,0.02,0,0,0.06,0.08,0,0,0,0,0.01,-0.59
Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,0,0.49,0,1.35,0,0.03,0.01,44.04,-10.6,0,4.28,0,0,0.51,-23.81,4.84,0.24,0.11,0.18,0,0,2.62,0,0.01,0,0.01,0.91,4.83,3.15,13.25,26.66,0,0.03,0,0,0.03,0.46,0,-0.93,0.06,0,0,0,0.08,0.18,0,0,0,0,44.24,-4.82
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,93.06,6.09,1.21,86.01,0.23,21.99,0.56,175.9,133.88,0,2.81,0,2.57,2.24,1952.92,224.14,0.02,4.53,30.07,0.07,17.86,17.5,0,0,0,1.08,54.15,42.11,119.94,443.83,234.53,0,1.81,0,0,0.05,0,0,29.75,0,0,0,0,3.7,0,0,0,0.06,0,4.93,-0.57
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,0,1.78,0.24,1.52,1.31,0.05,0.17,1.34,15.04,0,0.61,0.22,0,0.28,0.16,1.59,3.47,0.01,0.86,0,0.47,56.27,0,0.51,0.02,0.01,1.43,0.45,3.62,8.58,4.5,0,0,0,0,1.34,1.57,0,-1.06,0.21,0.01,0,0,0,0.17,0,0,0,0,0.05,0.69
Belize,0,0.01,0,1.05,0,0,0,0,0.11,0,0,0,0,0,0.66,0.04,0,0,0,0,0,0.01,0,0,0,0,0.04,0,1.58,5.47,9.22,0,0,0,0,0,0,0,-1.35,0,0,0,0,0,0.01,0,0,0,0,0,3.04
Benin,0,0.01,27.29,17.85,0,0.41,0.16,84.69,55.43,0,0.03,0,0.02,5.5,8.83,0.3,0,1.68,41.48,0,0.67,0.01,0,0,0,0.26,1.33,28.67,0.04,171.23,55.04,0,0,0,0,0,0.03,0,-1.37,0,0,0,0,2.33,0.03,0,0,0.04,0,0.4,0.17
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,2.48,0.64,0,0.48,0,0,0.22,0.04,2.66,0,0,0,0,0.05,9.31,2.96,0.02,0,0,0.2,0.07,0,0,0,0,0,0.46,0.21,0.27,1.22,6.67,0,1.16,0.07,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0
Bolivia,0.04,0.4,6.86,11.32,0.01,0.64,0.44,150.82,37.7,0,0,0,0.11,4.1,23.58,9.44,0,0.62,0,0.09,2.12,0.04,0,0,0,42.42,31.18,24.99,2.07,8.39,40.28,0,0,0,0,0,0.08,0,0,0,2.05,0,0,0,0,0,0,0,0,0.03,0.07
Bosnia and Herzegovina,0.02,26.46,0,0.12,5.79,0.07,0.17,2.77,48.61,0.97,10.75,0,0,4.98,3.34,-3.37,0,0.14,0.13,0,3.99,-0.26,-6.24,0.35,7.44,-12.61,28.6,30.04,6.59,61.03,331.03,0,0.46,13.78,0,0,0.2,0,-2.74,0,1.27,0,0,0.05,0.03,0,0,0,0,8.64,0.47
Botswana,0.33,0,0,0.21,0,0,0.23,1.52,1.31,0,0,0,0,0,8.83,0.32,0,0,0,0.2,0.05,0.02,0.04,0,0,0,0.6,0,3.24,54.98,6.27,0,0,0,0,0,0.04,0,-0.47,0,0,0.01,0,0,0,0,0,0.02,0,0.07,0
Brazil,0.12,2.91,1.48,1.24,0.04,0.34,0.24,470.28,31.87,0,3.89,0,0.47,12.84,247,0.97,0.01,1.28,0.29,0.12,25.65,0.52,8.19,0,0.04,6.93,3.43,2.94,38.85,46.86,163.35,0,0,0,0,0,3.79,0,0,0,0,0,0,0.34,0.08,0,0,0,0,0.03,0.12
British Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,0,13.64,39.39,49.56,0.28,41.56,1.73,126.98,69.94,0,0,0.22,1.31,17.72,63.85,1.75,0,33.15,31.59,0,7.77,0,0,0,0,4.43,53.54,52.68,0.28,180.88,102.65,0,0,0,0,0,0.09,0,-1.44,0,3.24,0,1.36,6.5,0.01,0,0,0,0,0.34,-0.1
Burundi,1.32,0.11,36.39,5.44,0,0.36,0.89,8.93,30.85,0,0,0,2.5,4.17,11.18,0.34,0,0.67,37.73,0,3.15,0.12,0,0,0,1.8,2.82,8.67,1.1,61.56,67.77,0,0,0,0,0,0.06,0,0.59,0,0,0,0.74,0.04,0,0,0,0.01,0,0.36,0.39
Cabo Verde,0.02,0.27,1.59,0.2,0.05,0,0,1.19,1.09,0,9.87,0,0,1.66,7.64,0.21,0,22.09,0,0,0,0,10.49,0,1.02,0.67,0.12,0.03,0.3,1.56,20.33,0,0,0,0,0,0.01,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0.02
Cambodia,78.22,0.08,4.14,2,2.04,2.17,1.49,111.5,55.09,0,0.33,0,1.42,0.29,459,113.08,0,1.27,0.15,8.69,4.71,0.02,0,0.02,0,-10.31,23.55,19.73,2.8,108.63,105.62,0,0,0,0,0,0.06,0,0,0,0,0,0,0.96,0,0,0,10.12,0,0.12,0.94
Cameroon,0.58,0.35,2.64,15.84,0.05,1.36,0,135.74,137.14,0,0.02,0,1,7.58,34.03,30.25,0.01,0.35,0,0,2.98,0.51,0,0,0,-0.99,13.28,10.48,11.05,141.06,105.9,0,0,0,0,0,0.21,0,-3.85,0,0,0,0,1.69,0.08,0,0,0.03,0,0.85,0.3
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,0,0.01,0,13.18,0,2.76,2.24,30.53,69.27,0,0,0,6.23,7.81,6.45,2.09,0,1.4,4.84,0,7.28,0,1.03,0,0,0.7,19.48,10.99,13.65,122.11,88.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.5
Chad,0.03,0.03,0,10.98,0,0.88,0,84.9,37.61,0,0,0,2.58,5.34,9.48,4.38,0,0.98,0,0,0,0,0,0,0,7.1,11.61,29.4,1.65,111.74,87.65,0,0,0,0,0,0.1,0,3.85,0,0,0,0,3.53,0.05,0,0,0,0,1.2,2.63
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China (People's Republic of),0.21,6.42,0.44,-20.9,0.04,0.41,0.22,0,359.9,0.01,5.21,0,0.05,-21.83,-800.55,-4.99,0.04,0.04,3.36,0.24,8.88,-11.04,1.39,0,0,-28.24,2.69,2.66,71.16,14.06,73.45,0,0,0,0,0,9.68,0,-20.64,0.03,0,0,0,1.54,0.02,0,0,0.32,0,0.67,0.01
Colombia,0.06,3.21,1.74,37.18,0.23,1.01,1.15,300.03,286.64,0,0.72,0,2.85,3.79,2.65,125.52,0.03,0.44,4.01,0.48,72.16,0.42,1.05,0,0,82.83,55.71,38.17,58.07,673.18,77.1,0,0,0,0,0,0.69,0,0,0,0,0,0,0.19,0.08,0,0,0,0,1.3,6
Comoros,0.02,0,0,0.22,0,0,0,46.33,0.02,0,0,0,0,0,1,1,0,0,0,0,0,0.05,0,0,0.01,0,0.15,0,0.2,0.77,4.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,34.71
Congo,0,0,0.94,0.99,0,0.11,0,48.81,0.7,0,0,0,0.02,0.83,8.78,0,0,0,0.52,0,0.9,0.08,0.01,1.4,1.55,1.06,0.74,0.31,0.1,19.96,9.49,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0.03,0,0,0,0,0.26,0.9
Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,0.01,0.47,0.06,2.73,0,0,0,5.59,3.12,0,0.05,0.06,0,0.08,-5.93,3.41,0.01,0,0.44,0.06,0,0.03,0,0,0,6.28,1.09,0.2,1.13,32.48,4.33,0,0,0,0,0,0.3,0,0,0,0,0,0,0.06,0,0,0,0,0,0.04,0.83
Cote d'Ivoire,0.05,1.16,0.34,10.16,0,0,0,359.54,92.74,0,0,0,0.02,4.34,34.26,35.52,0.06,0.14,0.02,0,0.19,0.02,0.4,0,0,11.48,1.33,0.56,4.75,188.17,96.89,0,0,0,0,0,0.23,0,2.06,0,0,0,0,0.07,0.02,0,0,0,0,0.27,0.02
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,0.01,0.14,4.48,3.16,0.34,0,0,16.83,1.96,0,0.2,0,0,15.8,10.16,1.13,0,0.04,0.29,0.03,1.04,0.04,0.19,0,0.2,6.43,3.81,13.32,2.03,8.01,25.39,0,0,0,0,0,0.02,0,3.43,0,0,0,0,0,0.08,0,0,0,0,0.01,0.74
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,0,0.01,0,1.27,0,0.08,0.59,0.4,1.98,0,0,0,0.59,0.02,0,0,0,0,0,0,0.47,0.04,0,0,0,0,0.8,5.59,0.19,0.01,2.93,0,0,0,0,0,0.01,0,0,0,0.08,0,0,0,0.04,0,0,0,0,0,0
Democratic Republic of the Congo,2.53,0.41,113.01,68.93,0.01,2.08,2.18,35.23,191.2,0.02,0.47,0.24,7.85,12.13,42.13,24.43,0,4.54,25.45,0,30.43,0.1,0,0,0.05,6.17,115.27,35.4,100.36,898.85,215.16,0,0,0,0,0,0.04,0,-0.62,0,0,0,0,0,0.07,0,0,0,0,0.36,0.58
Djibouti,0,0,0,0.28,0,1.15,0.02,10.04,0.18,0.34,0,0,0,0.48,11.82,0.2,0,0,0,0,0.3,0,0,0,0,-1.21,0.88,0,0.39,21.63,22.35,0,0,0,0,0,0,0,4.12,0,0,0,0,2.05,0,0,0,0,0,0.74,0
Dominica,0.03,0.01,0,1.4,0,0,0,-0.52,0.12,0,0,0.05,0,0,2.71,0,0,0,0,0.04,0,0,0,0,0,0.01,0,0,0.98,1.2,1.27,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,1.95
Dominican Republic,0.01,0.02,0.45,0.11,0,0,0.06,264.29,2.66,0,0,0,0,0.09,0.36,52.27,0,0,0.03,0.01,0,0.02,0,0,0,1.55,0.46,0.05,1.21,72.13,20.95,0,0,0,0,0,0.24,0,0,0,0,0,0,0.02,0,0,0,0,0,0.01,0.76
East African Community,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,0.03,0.49,7.34,8.41,0.02,0,0,40.39,42.84,0,1.87,0,0.03,3.21,12.07,10.88,0,0.05,0,0.01,2.36,0.2,0.04,0,0,9.21,0.79,1.05,1.45,70.77,51.36,0,0,0,0,0,0.2,0,0,0,0,0,0,0.07,0,0,0,0.02,0,0.21,0.19
Egypt,0.06,3.91,1.01,15,4.39,-3.49,0.38,169.62,-8.83,2.83,3.64,0.05,0.03,7.06,177.96,74.85,0,0.11,-0.06,0.33,2.94,3.51,2.54,0,1.71,39.23,5.87,26.93,22.45,46.8,2075.61,0,0,0,0,0.04,0.14,0,282.74,0,0,0.3,0,1.16,1.25,0,0,0.01,0,2.08,-6.53
El Salvador,0.01,0.59,2.27,5.69,0.01,0,0,27.4,-0.01,0,0,0.08,0,2.6,14.29,23.61,0,0.67,0.12,0.02,0.68,0.04,0.11,0,0,33.51,2.21,1.92,0.96,92.1,5.16,0,0,0,0,0,0.07,0,0,0,0,0,0,0.1,0,0,0,0,0,0.02,0.01
Equatorial Guinea,0,0,0,0.18,0,0,0,2.67,0.01,0,0,0,0,0,0.12,0.44,0,0,0,0,0,0,0.11,0,0,2.98,0.08,0.01,0.04,0.27,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.58
