,Afghanistan,Albania,Algeria,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Cayman Islands,Central African Republic,Chad,Chile,China (People's Republic of),Colombia,Comoros,Congo,Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Democratic People's Republic of Korea,Democratic Republic of the Congo,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Eswatini,Ethiopia,Fiji,French Polynesia,Gabon,Gambia,Georgia,Ghana,Gibraltar,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong (China),India,Indonesia,Iran,Iraq,Israel,Jamaica,Jordan,Kazakhstan,Kenya,Kiribati,Korea,Kosovo,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Lebanon,Lesotho,Liberia,Libya,Macau (China),Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mayotte,Mexico,Micronesia,Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands Antilles,New Caledonia,Nicaragua,Niger,Nigeria,Niue,North Macedonia,Northern Mariana Islands,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Qatar,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Sri Lanka,Sudan,Suriname,Syrian Arab Republic,Chinese Taipei,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Türkiye,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,Uruguay,Uzbekistan,Vanuatu,Venezuela,Viet Nam,Wallis and Futuna,West Bank and Gaza Strip,Yemen,Zambia,Zimbabwe
Australia,60.85,0.18,0.01,0.0,0,0.37,0.46,0.14,0,0.04,0,0,46.74,0,0.0,0.19,0.01,0,8.6,0.06,0.02,0.91,0.19,0,0,9.08,2.24,0.03,58.37,0.87,0,0.05,0.0,0.25,7.61,0.18,0.23,0.0,2.36,1.07,0.02,0,0.01,0,0.0,0.03,0.03,0.53,0.56,0.02,0.16,2.2,0.02,0.0,6.36,3.65,46.89,0,0.0,0.41,0.0,2.41,0,0.09,0.81,0.01,0.01,0.16,0.27,0.0,0,6.2,207.53,0.03,7.99,0,0.63,14.84,0.0,7.66,20.67,0,0.01,0,0.15,23.7,13.76,1.39,1.14,0.01,0,0.68,4.07,1.04,1.17,0.05,0,9.58,0.11,2.94,0,0.69,13.63,0.0,8.05,0.0,0.0,0.01,9.84,68.24,0.52,21.35,19.32,0,0,0.02,0.04,8.78,1.75,0.0,0,0,41.32,1.49,0.11,381.46,0.05,0.35,53.93,0,9.44,0.0,0,0.11,2.12,31.18,0.0,0,0.09,0.03,1.28,1.98,0,0,119.2,14.34,2.67,24.9,21.53,0.02,0.28,11.85,0,0.07,3.5,4.58,69.06,0.17,0.96,22.74,0,0.08,0.33,0.0,0,6.47,7.24,0.29,0,0.11,0.0,50.53,0.05,39.09,0.2,36.99,14.56,3.79,2.42
Austria,5.37,9.09,0.34,0.01,0,0.0,0.39,4.62,0,0.68,0,0,1.57,0,1.26,0.01,0.04,0,2.18,0.14,20.84,0.01,2.24,0,0,5.73,0.03,0.01,0.13,2.1,0,0.02,0.02,0.4,5.73,1.15,0.0,0.04,0.0,0.1,0.03,0,10.21,0,0.04,0.29,0.01,0.02,0.07,0.41,2.78,0.66,0.01,0.0,0.02,11.37,0.07,0,0.14,0.02,8.67,1.15,0,0.0,5.06,0.02,0.0,0.0,0.04,0.9,0,4.01,0.92,11.11,10.34,0,0.02,4.57,2.6,6.71,0.0,0,8.1,0,0.42,2.36,1.78,0.32,0.0,1.97,0,0.04,0.07,0.05,0.06,0.88,0,0.0,0.0,0.01,0,2.46,0.0,3.65,4.0,1.14,0.0,0.38,4.65,0.32,0.01,0.0,1.84,0,0,1.71,0.66,0.9,0.0,2.26,0,0,2.23,0.0,0.04,0.43,0.23,0.71,3.64,0,0.37,0.0,0,0.0,0.06,0.0,0.0,0,1.63,12.11,0.0,0.05,0,0,0.0,1.24,0.48,3.33,3.22,0.36,0.08,7.5,0,0.23,2.18,0.78,0.0,0.1,0.0,0.0,0,4.4,44.93,0.14,0,0.0,13.16,18.18,0,0.03,0.33,0.0,0.31,5.03,0.0,4.74,2.37,0.3,0.38
Belgium,0.19,0.04,3.16,0.0,0,0.0,0.05,0.29,0,0.0,0,0,1.01,0,0.0,0.0,25.27,0,0.0,14.64,0.0,0.0,1.15,0,0,14.89,36.24,0.0,3.82,3.11,0,5.57,0.2,0.2,0.0,1.78,0.0,0.02,0.0,0.04,0.09,0,9.77,0,0.0,113.86,0.0,0.19,0.39,7.32,0.0,1.87,0.0,0.0,0.0,3.73,0.0,0,0.0,0.07,0.02,4.96,0,0.0,2.32,4.9,0.0,0.0,6.94,1.62,0,1.3,0.0,0.0,10.98,0,0.14,4.48,0.0,24.3,0.0,0,0.04,0,0.0,0.4,4.81,0.0,0.0,0.1,0,2.4,8.72,0.0,0.0,13.16,0,0.0,0.16,0.0,0,0.06,0.0,0.04,0.0,0.08,0.0,16.01,18.53,0.11,0.02,0.0,0.53,0,0,2.14,20.62,10.85,0.0,0.0,0,0,0.0,0.15,0.0,0.0,0.01,14.11,3.14,0,40.62,0.0,0,0.0,0.0,0.0,0.0,0,14.6,0.05,0.01,0.01,0,0,0.0,4.72,11.63,10.68,0.82,0.24,1.51,10.28,0,0.0,13.51,0.1,0.0,0.88,0.0,0.0,0,0.55,6.54,0.0,0,0.0,22.34,3.07,0,0.0,0.0,0.0,0.0,13.08,0.0,23.72,11.79,1.14,1.18
Canada,68.46,0.12,0.0,0.02,0,0.07,1.13,0.0,0,0.02,0,0,39.02,0,0.1,0.27,14.52,0,0.1,11.02,0.04,0.51,1.26,0,0,31.71,6.54,0.17,2.37,9.58,0,11.74,11.06,3.14,0.0,45.04,0.16,0.24,0.0,0.68,3.93,0,9.68,0,1.55,37.84,1.44,0.91,0.73,1.14,4.06,1.24,0.18,0.82,0.25,89.32,0.01,0,0.29,0.05,0.01,43.34,0,0.11,9.29,2.72,0.17,0.74,90.37,17.59,0,5.47,11.88,0.16,67.58,0,2.96,87.67,0.16,33.11,0.03,0,0.0,0,0.33,0.96,69.01,0.05,3.46,4.45,0,2.39,8.94,0.12,0.01,94.45,0,0.02,0.99,0.23,0,3.92,0.02,0.09,4.92,0.01,0.0,5.53,39.54,19.26,0.19,0.01,12.68,0,0,8.27,13.35,56.47,0.01,0.01,0,0,23.5,0.01,0.5,0.04,0.69,23.93,10.61,0,6.28,0.0,0,0.28,0.0,0.01,0.18,0,42.01,0.03,0.16,1.39,0,0,0.03,26.7,5.3,109.89,2.89,11.49,0.34,107.91,0,0.59,90.28,0.14,0.13,1.83,0.01,0.01,0,0.0,0.23,0.0,0,0.01,18.67,38.03,0,0.17,0.0,0.17,0.62,14.77,0.0,26.28,41.97,1.93,0.86
Czech Republic,2.38,0.23,0.01,0.11,0,0.0,0.0,0.38,0,0.05,0,0,0.24,0,0.75,0.01,0.01,0,0.0,0.01,3.52,0.0,0.0,0,0,0.0,0.0,0.06,1.54,0.0,0,0.23,0.0,0.13,0.0,0.17,0.01,0.0,0.0,0.02,1.15,0,0.34,0,0.0,0.02,0.0,0.0,0.0,0.01,0.08,0.01,0.0,0.0,0.0,3.8,0.0,0,0.0,0.01,3.21,0.09,0,0.0,0.01,0.05,0.0,0.0,0.0,0.01,0,0.01,0.02,0.02,2.48,0,0.0,4.32,0.03,0.06,0.0,0,1.06,0,0.13,0.04,0.79,0.0,0.0,1.24,0,0.0,0.0,0.0,0.0,0.06,0,0.0,0.0,0.0,0,0.02,0.0,4.73,1.46,0.07,0.0,0.08,0.03,0.88,0.06,0.0,0.19,0,0,0.01,0.0,0.27,0.0,1.46,0,0,0.03,0.01,0.06,0.01,0.03,0.2,0.1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.15,2.32,0.0,0.01,0,0,0.0,0.0,0.02,0.4,0.17,0.03,0.0,2.37,0,0.05,0.0,0.01,0.0,0.0,0.0,0.0,0,0.02,0.0,0.0,0,0.0,0.17,2.9,0,0.0,0.07,0.0,0.0,0.06,0.0,0.87,0.73,1.69,0.05
Denmark,66.31,2.35,0.0,0.3,0,0.0,0.0,0.09,0,0.0,0,0,32.88,0,0.0,0.0,0.0,0,0.0,40.95,0.0,0.0,0.67,0,0,29.42,0.0,0.0,1.28,0.0,0,3.03,0.0,4.58,0.0,1.83,0.0,0.0,0.0,0.0,0.0,0,2.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.12,0.0,0,0.0,0.0,5.17,16.41,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.41,12.39,0.08,33.48,0,0.0,0.02,0.0,35.18,0.0,0,1.81,0,0.0,0.0,6.64,0.0,0.0,1.55,0,0.0,0.0,0.15,0.0,26.34,0,0.0,0.0,0.0,0,2.16,0.0,0.59,0.21,0.0,0.0,1.59,42.57,31.44,0.0,0.0,19.11,0,0,0.0,7.37,1.32,0.0,0.03,0,0,0.94,0.0,0.0,0.0,0.0,0.07,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,37.16,2.31,14.81,0.03,4.38,0.0,44.05,0,0.0,52.89,0.0,0.0,0.0,0.0,0.0,0,2.59,21.48,0.0,0,0.0,46.41,12.83,0,0.0,0.0,0.0,0.0,6.23,0.0,18.69,28.3,0.0,0.46
Finland,20.63,0.13,0.12,0.0,0,0.0,0.07,0.06,0,0.06,0,0,0.96,0,0.08,0.0,0.01,0,0.13,0.58,0.07,0.11,0.45,0,0,0.65,0.59,0.0,1.61,0.32,0,0.71,0.0,0.0,0.66,10.46,0.0,0.0,0.0,0.0,0.24,0,0.0,0,0.73,1.51,0.0,0.0,0.26,0.11,0.91,0.0,0.0,0.13,0.15,21.17,0.0,0,0.0,0.25,1.46,1.04,0,0.0,0.2,0.22,0.0,0.09,0.06,0.0,0,1.6,5.24,0.0,5.14,0,0.0,2.11,0.0,16.14,0.0,0,1.63,0,0.95,1.55,1.85,0.1,0.79,0.34,0,0.21,0.99,0.0,0.0,0.35,0,0.0,0.15,0.0,0,0.26,0.0,1.08,0.49,0.0,0.0,0.21,17.11,11.9,2.4,0.0,22.76,0,0,0.47,0.0,2.51,0.0,0.1,0,0,0.25,0.0,0.0,0.0,0.0,0.52,0.65,0,0.1,0.0,0,0.0,0.0,0.0,0.0,0,0.6,0.0,0.0,0.59,0,0,0.0,15.22,1.56,6.04,0.61,0.23,0.0,10.46,0,1.24,16.76,0.18,0.24,0.32,0.0,0.0,0,0.89,14.08,0.0,0,0.0,4.94,7.21,0,0.0,0.0,0.0,0.0,13.55,0.0,5.14,5.24,10.9,0.65
France,21.41,4.72,82.55,5.97,0,0.01,11.2,39.1,0,0.0,0,0,20.88,0,2.02,0.0,42.33,0,0.02,119.61,2.37,0.13,155.62,0,0,85.59,5.66,25.28,92.11,271.94,0,30.54,92.71,5.37,64.45,0.0,20.65,27.38,0.0,4.45,11.64,0,101.82,0,1.58,34.5,41.29,0.0,15.17,36.91,220.56,3.62,2.13,0.45,0.14,53.06,0.6,0,84.32,0.0,7.66,27.0,0,0.0,3.0,37.54,0.91,0.24,37.31,1.66,0,180.87,189.16,10.28,446.22,0,0.26,159.37,4.29,34.78,0.0,0,2.2,0,0.73,11.09,10.09,0.0,0.08,5.06,0,54.6,0.3,5.63,0.44,95.16,0,0.0,16.03,3.09,0,188.84,0.0,3.68,2.04,0.0,0.0,337.11,1.88,4.16,31.6,0.0,0.8,0,0,0.74,66.0,77.04,0.0,1.79,0,0,95.88,0.0,0.39,0.01,1.11,8.2,0.0,0,3.65,0.0,0,0.0,0.0,0.0,0.55,0,126.06,5.01,2.3,0.42,0,0,0.01,3.73,0.0,3.6,1.67,4.19,0.9,27.95,0,0.16,30.91,12.6,0.22,22.22,0.0,0.02,0,62.12,414.98,0.24,0,0.0,51.39,17.67,0,1.11,2.86,2.18,6.83,41.61,88.47,44.69,5.7,2.39,2.05
Germany,478.43,26.9,8.46,2.65,0,0.03,10.93,72.87,0,0.28,0,0,79.17,0,14.55,0.05,37.27,0,0.63,42.96,72.28,0.42,66.91,0,0,41.01,32.87,0.12,30.46,100.06,0,48.25,26.55,24.63,403.78,156.32,0.0,0.54,0.06,2.72,22.63,0,2.89,0,2.72,113.6,0.54,0.09,0.32,29.99,0.0,13.07,0.03,2.26,0.0,137.34,2.17,0,0.0,1.36,22.38,55.68,0,1.18,9.79,12.18,0.12,0.04,16.94,15.53,0,525.99,268.26,70.67,534.28,0,0.0,302.15,16.68,75.88,0.06,0,43.9,0,31.21,22.93,190.71,1.2,33.07,172.07,0,41.51,67.38,12.99,0.04,72.53,0,0.37,18.65,0.7,0,277.58,0.0,11.51,8.35,0.0,0.0,348.43,55.65,40.08,36.5,0.0,44.64,0,0,10.83,38.32,290.39,0.0,0.0,0,0,121.05,0.01,0.38,0.91,3.96,88.41,34.95,0,45.24,0.0,0,0.02,0.01,0.0,0.03,0,18.24,167.31,0.01,17.22,0,0,0.4,222.86,110.29,151.55,2.34,46.86,0.06,879.79,0,24.31,44.16,9.98,6.55,25.86,0.01,0.03,0,157.44,516.27,1.26,0,0.0,64.24,202.85,0,26.21,15.42,0.06,7.11,114.27,0.0,175.97,248.96,32.85,29.92
Greece,0.0,0.99,0.1,0.0,0,0.0,0.05,0.09,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.02,0.0,0.02,0,0,0.0,0.0,0.0,0.0,0.0,0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0,0.0,0,0.0,0.13,0.0,0.0,0.0,0.0,0.29,0.01,0.0,0.0,0.0,0.05,0.0,0,0.0,0.0,0.02,0.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.04,0.02,0,0.0,0.06,0.0,0.01,0.0,0,0.0,0,0.0,0.0,0.11,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.02,0.0,0.05,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.06,0,0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.21,0.0,0.0,0,0,0.0,0.0,0.05,0.0,0.0,0.01,0.0,0.35,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.22,12.68,0.0,0,0.0,0.01,0.22,0,0.02,0.01,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.01
