Source,Target,Type,Id,Label,Weight
Australia,Afghanistan,Directed,13187,,50.540001
Australia,Albania,Directed,13188,,0.01
Australia,Antigua and Barbuda,Directed,13189,,0.06
Australia,Argentina,Directed,13190,,0.06
Australia,Bangladesh,Directed,13191,,93.059998
Australia,Bhutan,Directed,13192,,2.48
Australia,Bolivia,Directed,13193,,0.04
Australia,Bosnia and Herzegovina,Directed,13194,,0.02
Australia,Botswana,Directed,13195,,0.33
Australia,Brazil,Directed,13196,,0.12
Australia,Burundi,Directed,13197,,1.32
Australia,Cabo Verde,Directed,13198,,0.02
Australia,Cambodia,Directed,13199,,78.220001
Australia,Cameroon,Directed,13200,,0.58
Australia,Chad,Directed,13201,,0.03
Australia,China (People's Republic of),Directed,13202,,0.21
Australia,Colombia,Directed,13203,,0.06
Australia,Comoros,Directed,13204,,0.02
Australia,Costa Rica,Directed,13205,,0.01
Australia,Cote d'Ivoire,Directed,13206,,0.05
Australia,Cuba,Directed,13207,,0.01
Australia,Democratic Republic of the Congo,Directed,13208,,2.53
Australia,Dominica,Directed,13209,,0.03
Australia,Dominican Republic,Directed,13210,,0.01
Australia,Ecuador,Directed,13211,,0.03
Australia,Egypt,Directed,13212,,0.06
Australia,El Salvador,Directed,13213,,0.01
Australia,Eritrea,Directed,13214,,0.02
Australia,Eswatini,Directed,13215,,0.13
Australia,Ethiopia,Directed,13216,,8.5
Australia,Fiji,Directed,13217,,193.149994
Australia,Gambia,Directed,13218,,0.05
Australia,Ghana,Directed,13219,,1.68
Australia,Grenada,Directed,13220,,0.02
Australia,Guatemala,Directed,13221,,0.01
Australia,Guinea-Bissau,Directed,13222,,0.02
Australia,Guyana,Directed,13223,,0.01
Australia,Honduras,Directed,13224,,0.01
Australia,India,Directed,13225,,20.389999
Australia,Indonesia,Directed,13226,,327.829987
Australia,Iran,Directed,13227,,0.1
Australia,Iraq,Directed,13228,,15.9
Australia,Jamaica,Directed,13229,,0.02
Australia,Jordan,Directed,13230,,15.3
Australia,Kenya,Directed,13231,,5.75
Australia,Kiribati,Directed,13232,,29.57
Australia,Kosovo,Directed,13233,,0.01
Australia,Kyrgyzstan,Directed,13234,,0.03
Australia,Lao People's Democratic Republic,Directed,13235,,41.02
Australia,Lebanon,Directed,13236,,10.88
Australia,Lesotho,Directed,13237,,0.09
Australia,Liberia,Directed,13238,,0.02
Australia,Madagascar,Directed,13239,,0.22
Australia,Malawi,Directed,13240,,1.82
Australia,Malaysia,Directed,13241,,1.64
Australia,Maldives,Directed,13242,,1.51
Australia,Marshall Islands,Directed,13243,,2.68
Australia,Mauritius,Directed,13244,,0.28
Australia,Mexico,Directed,13245,,0.11
Australia,Micronesia,Directed,13246,,3.94
Australia,Moldova,Directed,13247,,0.01
Australia,Mongolia,Directed,13248,,4.79
Australia,Montenegro,Directed,13249,,0.01
Australia,Morocco,Directed,13250,,0.01
Australia,Mozambique,Directed,13251,,1.15
Australia,Myanmar,Directed,13252,,68.239998
Australia,Namibia,Directed,13253,,0.07
Australia,Nauru,Directed,13254,,20.290001
Australia,Nepal,Directed,13255,,25.57
Australia,Nicaragua,Directed,13256,,0.05
Australia,Niger,Directed,13257,,0.26
Australia,Nigeria,Directed,13258,,2.41
Australia,Niue,Directed,13259,,2.38
Australia,North Macedonia,Directed,13260,,0.01
Australia,Pakistan,Directed,13261,,10.82
Australia,Palau,Directed,13262,,4.63
Australia,Panama,Directed,13263,,0.01
Australia,Papua New Guinea,Directed,13264,,586.22998
Australia,Paraguay,Directed,13265,,0.03
Australia,Peru,Directed,13266,,0.2
Australia,Philippines,Directed,13267,,65.209999
Australia,Rwanda,Directed,13268,,2.8
Australia,Saint Lucia,Directed,13269,,0.01
Australia,Saint Vincent and the Grenadines,Directed,13270,,0.05
Australia,Samoa,Directed,13271,,34.990002
Australia,Senegal,Directed,13272,,0.02
Australia,Serbia,Directed,13273,,0.02
Australia,Sierra Leone,Directed,13274,,0.01
Australia,Solomon Islands,Directed,13275,,137.639999
Australia,Somalia,Directed,13276,,0.66
Australia,South Africa,Directed,13277,,1.47
Australia,South Sudan,Directed,13278,,1.85
Australia,Sri Lanka,Directed,13279,,20.09
Australia,Sudan,Directed,13280,,0.19
Australia,Suriname,Directed,13281,,0.03
Australia,Syrian Arab Republic,Directed,13282,,3.06
Australia,Tajikistan,Directed,13283,,0.01
Australia,Tanzania,Directed,13284,,2.41
Australia,Thailand,Directed,13285,,6.78
Australia,Timor-Leste,Directed,13286,,104.120003
Australia,Tokelau,Directed,13287,,0.7
Australia,Tonga,Directed,13288,,31.4
Australia,Tunisia,Directed,13289,,0.01
Australia,Türkiye,Directed,13290,,0.07
Australia,Tuvalu,Directed,13291,,11.31
Australia,Uganda,Directed,13292,,3.13
Australia,Ukraine,Directed,13293,,0.07
Australia,Uzbekistan,Directed,13294,,0.02
Australia,Vanuatu,Directed,13295,,89.779999
Australia,Viet Nam,Directed,13296,,88
Australia,Wallis and Futuna,Directed,13297,,0.06
Australia,West Bank and Gaza Strip,Directed,13298,,18.26
Australia,Yemen,Directed,13299,,7.51
Australia,Zambia,Directed,13300,,2.66
Australia,Zimbabwe,Directed,13301,,2.92
Austria,Afghanistan,Directed,13302,,3.82
Austria,Albania,Directed,13303,,13.92
Austria,Algeria,Directed,13304,,0.45
Austria,Angola,Directed,13305,,0.01
Austria,Argentina,Directed,13306,,0.54
Austria,Armenia,Directed,13307,,5.19
Austria,Azerbaijan,Directed,13308,,0.49
Austria,Bangladesh,Directed,13309,,6.09
Austria,Belarus,Directed,13310,,1.78
Austria,Belize,Directed,13311,,0.01
Austria,Benin,Directed,13312,,0.01
Austria,Bhutan,Directed,13313,,0.64
Austria,Bolivia,Directed,13314,,0.4
Austria,Bosnia and Herzegovina,Directed,13315,,26.459999
Austria,Brazil,Directed,13316,,2.91
Austria,Burkina Faso,Directed,13317,,13.64
Austria,Burundi,Directed,13318,,0.11
Austria,Cabo Verde,Directed,13319,,0.27
Austria,Cambodia,Directed,13320,,0.08
Austria,Cameroon,Directed,13321,,0.35
Austria,Central African Republic,Directed,13322,,0.01
Austria,Chad,Directed,13323,,0.03
Austria,China (People's Republic of),Directed,13324,,6.42
Austria,Colombia,Directed,13325,,3.21
Austria,Costa Rica,Directed,13326,,0.47
Austria,Cote d'Ivoire,Directed,13327,,1.16
Austria,Cuba,Directed,13328,,0.14
Austria,Democratic People's Republic of Korea,Directed,13329,,0.01
Austria,Democratic Republic of the Congo,Directed,13330,,0.41
Austria,Dominica,Directed,13331,,0.01
Austria,Dominican Republic,Directed,13332,,0.02
Austria,Ecuador,Directed,13333,,0.49
Austria,Egypt,Directed,13334,,3.91
Austria,El Salvador,Directed,13335,,0.59
Austria,Eritrea,Directed,13336,,0.03
Austria,Ethiopia,Directed,13337,,16.049999
Austria,Fiji,Directed,13338,,0.06
Austria,Gabon,Directed,13339,,0.19
Austria,Gambia,Directed,13340,,0.12
Austria,Georgia,Directed,13341,,6.04
Austria,Ghana,Directed,13342,,2.99
Austria,Grenada,Directed,13343,,0.01
Austria,Guatemala,Directed,13344,,5.59
Austria,Guinea-Bissau,Directed,13345,,0.01
Austria,Haiti,Directed,13346,,0.05
Austria,Honduras,Directed,13347,,0.17
Austria,India,Directed,13348,,11.67
Austria,Indonesia,Directed,13349,,8.38
Austria,Iran,Directed,13350,,18.459999
Austria,Iraq,Directed,13351,,3.31
Austria,Jordan,Directed,13352,,7.42
Austria,Kazakhstan,Directed,13353,,3.41
Austria,Kenya,Directed,13354,,2.53
Austria,Kosovo,Directed,13355,,11.09
Austria,Kyrgyzstan,Directed,13356,,0.71
Austria,Lao People's Democratic Republic,Directed,13357,,1.04
Austria,Lebanon,Directed,13358,,7.58
Austria,Lesotho,Directed,13359,,0.23
Austria,Liberia,Directed,13360,,0.03
Austria,Libya,Directed,13361,,3.57
Austria,Madagascar,Directed,13362,,0.1
Austria,Malawi,Directed,13363,,0.06
Austria,Malaysia,Directed,13364,,0.21
Austria,Maldives,Directed,13365,,0.1
Austria,Mali,Directed,13366,,1.74
Austria,Mauritius,Directed,13367,,0.06
Austria,Mexico,Directed,13368,,5.01
Austria,Moldova,Directed,13369,,5.12
Austria,Mongolia,Directed,13370,,3.57
Austria,Montenegro,Directed,13371,,1.07
Austria,Morocco,Directed,13372,,0.98
Austria,Mozambique,Directed,13373,,12.89
Austria,Myanmar,Directed,13374,,0.07
Austria,Namibia,Directed,13375,,0.06
Austria,Nepal,Directed,13376,,2.3
Austria,Nicaragua,Directed,13377,,0.76
Austria,Niger,Directed,13378,,0.09
Austria,Nigeria,Directed,13379,,1.56
Austria,North Macedonia,Directed,13380,,3.24
Austria,Pakistan,Directed,13381,,4.68
Austria,Panama,Directed,13382,,0.03
Austria,Paraguay,Directed,13383,,0.21
Austria,Peru,Directed,13384,,1.14
Austria,Philippines,Directed,13385,,0.74
Austria,Rwanda,Directed,13386,,0.31
Austria,Saint Lucia,Directed,13387,,0.02
Austria,Saint Vincent and the Grenadines,Directed,13388,,0.16
Austria,Senegal,Directed,13389,,0.84
Austria,Serbia,Directed,13390,,29.48
Austria,Sierra Leone,Directed,13391,,0.06
Austria,Somalia,Directed,13392,,1.05
Austria,South Africa,Directed,13393,,0.77
Austria,South Sudan,Directed,13394,,2.4
Austria,Sri Lanka,Directed,13395,,1.88
Austria,Sudan,Directed,13396,,0.35
Austria,Syrian Arab Republic,Directed,13397,,17.74
Austria,Tajikistan,Directed,13398,,0.37
Austria,Tanzania,Directed,13399,,1.25
Austria,Thailand,Directed,13400,,0.84
Austria,Timor-Leste,Directed,13401,,0.1
Austria,Togo,Directed,13402,,0.03
Austria,Tunisia,Directed,13403,,3.35
Austria,Türkiye,Directed,13404,,27.610001
Austria,Turkmenistan,Directed,13405,,0.29
Austria,Uganda,Directed,13406,,15.11
Austria,Ukraine,Directed,13407,,20.5
Austria,Uzbekistan,Directed,13408,,2.14
Austria,Vanuatu,Directed,13409,,0.15
Austria,Venezuela,Directed,13410,,1.6
Austria,Viet Nam,Directed,13411,,2.69
Austria,West Bank and Gaza Strip,Directed,13412,,7.81
Austria,Yemen,Directed,13413,,8.27
Austria,Zambia,Directed,13414,,0.17
Austria,Zimbabwe,Directed,13415,,0.16
Belgium,Afghanistan,Directed,13416,,2.63
Belgium,Albania,Directed,13417,,0.04
Belgium,Algeria,Directed,13418,,0.12
Belgium,Angola,Directed,13419,,0.35
Belgium,Armenia,Directed,13420,,0.77
Belgium,Bangladesh,Directed,13421,,1.21
Belgium,Belarus,Directed,13422,,0.24
Belgium,Benin,Directed,13423,,27.290001
Belgium,Bolivia,Directed,13424,,6.86
Belgium,Brazil,Directed,13425,,1.48
Belgium,Burkina Faso,Directed,13426,,39.389999
Belgium,Burundi,Directed,13427,,36.389999
Belgium,Cabo Verde,Directed,13428,,1.59
Belgium,Cambodia,Directed,13429,,4.14
Belgium,Cameroon,Directed,13430,,2.64
Belgium,China (People's Republic of),Directed,13431,,0.44
Belgium,Colombia,Directed,13432,,1.74
Belgium,Congo,Directed,13433,,0.94
Belgium,Costa Rica,Directed,13434,,0.06
Belgium,Cote d'Ivoire,Directed,13435,,0.34
Belgium,Cuba,Directed,13436,,4.48
Belgium,Democratic Republic of the Congo,Directed,13437,,113.010002
Belgium,Dominican Republic,Directed,13438,,0.45
Belgium,Ecuador,Directed,13439,,7.34
Belgium,Egypt,Directed,13440,,1.01
Belgium,El Salvador,Directed,13441,,2.27
Belgium,Ethiopia,Directed,13442,,10.63
Belgium,Gambia,Directed,13443,,0.06
Belgium,Georgia,Directed,13444,,0.01
Belgium,Ghana,Directed,13445,,1.02
Belgium,Guatemala,Directed,13446,,2.37
Belgium,Guinea,Directed,13447,,12.49
Belgium,Haiti,Directed,13448,,5.68
Belgium,Honduras,Directed,13449,,1.11
Belgium,India,Directed,13450,,1.61
Belgium,Indonesia,Directed,13451,,2.96
Belgium,Iran,Directed,13452,,0.22
Belgium,Iraq,Directed,13453,,5.14
Belgium,Jordan,Directed,13454,,2.44
Belgium,Kenya,Directed,13455,,13.02
Belgium,Kosovo,Directed,13456,,0.01
Belgium,Lebanon,Directed,13457,,9.99
Belgium,Libya,Directed,13458,,0.31
Belgium,Madagascar,Directed,13459,,4.66
Belgium,Malawi,Directed,13460,,2.88
Belgium,Mali,Directed,13461,,21.629999
Belgium,Mauritania,Directed,13462,,0.42
Belgium,Mexico,Directed,13463,,0.06
Belgium,Moldova,Directed,13464,,0.01
Belgium,Morocco,Directed,13465,,16.950001
Belgium,Mozambique,Directed,13466,,16.35
Belgium,Myanmar,Directed,13467,,0.02
Belgium,Namibia,Directed,13468,,0.04
Belgium,Nepal,Directed,13469,,0.19
Belgium,Nicaragua,Directed,13470,,2.19
Belgium,Niger,Directed,13471,,34.57
Belgium,Nigeria,Directed,13472,,5.94
Belgium,Pakistan,Directed,13473,,0.06
Belgium,Papua New Guinea,Directed,13474,,0.02
Belgium,Paraguay,Directed,13475,,0.01
Belgium,Peru,Directed,13476,,8.29
Belgium,Philippines,Directed,13477,,5.49
Belgium,Rwanda,Directed,13478,,52.330002
Belgium,Senegal,Directed,13479,,16.889999
Belgium,Somalia,Directed,13480,,0.05
Belgium,South Africa,Directed,13481,,11.62
Belgium,Sri Lanka,Directed,13482,,0.41
Belgium,Sudan,Directed,13483,,0.01
Belgium,Suriname,Directed,13484,,0.18
Belgium,Syrian Arab Republic,Directed,13485,,22.92
Belgium,Tanzania,Directed,13486,,14.82
Belgium,Thailand,Directed,13487,,0.02
Belgium,Togo,Directed,13488,,0.71
Belgium,Tunisia,Directed,13489,,0.59
Belgium,Türkiye,Directed,13490,,13.1
Belgium,Uganda,Directed,13491,,49.689999
Belgium,Ukraine,Directed,13492,,3.88
Belgium,Uzbekistan,Directed,13493,,0.01
Belgium,Viet Nam,Directed,13494,,8.16
Belgium,West Bank and Gaza Strip,Directed,13495,,23.73
Belgium,Yemen,Directed,13496,,6.85
Belgium,Zambia,Directed,13497,,1.5
